ID;alert_ID;actionType;assignedTo;performedBy;comment;previousStatus;newStatus;outcome;completedAt;createdAt
aaaa2222-2222-4222-8222-000000000001;aaaa1111-1111-4111-8111-000000000001;ASSIGN;fresh-manager-1@shoprite.example;FreshChain rules service;Assigned for cold-chain intervention.;OPEN;ASSIGNED;Pending store action.;2026-06-17T08:08:00Z;2026-06-17T08:08:00Z
aaaa2222-2222-4222-8222-000000000002;aaaa1111-1111-4111-8111-000000000002;ASSIGN;fresh-manager-2@shoprite.example;FreshChain rules service;Assigned for cold-chain intervention.;OPEN;ASSIGNED;Pending store action.;2026-06-17T08:11:00Z;2026-06-17T08:11:00Z
aaaa2222-2222-4222-8222-000000000003;aaaa1111-1111-4111-8111-000000000003;ASSIGN;fresh-manager-3@shoprite.example;FreshChain rules service;Assigned for cold-chain intervention.;OPEN;ASSIGNED;Pending store action.;2026-06-17T08:14:00Z;2026-06-17T08:14:00Z
aaaa2222-2222-4222-8222-000000000004;aaaa1111-1111-4111-8111-000000000004;RESOLVE;fresh-manager-4@shoprite.example;FreshChain rules service;Verified intervention outcome against stock ledger.;OPEN;RESOLVED;Protected revenue captured.;2026-06-17T08:17:00Z;2026-06-17T08:17:00Z
aaaa2222-2222-4222-8222-000000000005;aaaa1111-1111-4111-8111-000000000005;ASSIGN;fresh-manager-1@shoprite.example;FreshChain rules service;Assigned for cold-chain intervention.;OPEN;ASSIGNED;Pending store action.;2026-06-17T08:20:00Z;2026-06-17T08:20:00Z
aaaa2222-2222-4222-8222-000000000006;aaaa1111-1111-4111-8111-000000000006;ASSIGN;fresh-manager-2@shoprite.example;FreshChain rules service;Assigned for cold-chain intervention.;OPEN;ASSIGNED;Pending store action.;2026-06-17T08:23:00Z;2026-06-17T08:23:00Z
aaaa2222-2222-4222-8222-000000000007;aaaa1111-1111-4111-8111-000000000007;ASSIGN;fresh-manager-3@shoprite.example;FreshChain rules service;Assigned for cold-chain intervention.;OPEN;ASSIGNED;Pending store action.;2026-06-17T08:26:00Z;2026-06-17T08:26:00Z
aaaa2222-2222-4222-8222-000000000008;aaaa1111-1111-4111-8111-000000000008;RESOLVE;fresh-manager-4@shoprite.example;FreshChain rules service;Verified intervention outcome against stock ledger.;OPEN;RESOLVED;Protected revenue captured.;2026-06-17T08:29:00Z;2026-06-17T08:29:00Z
aaaa2222-2222-4222-8222-000000000009;aaaa1111-1111-4111-8111-000000000009;ASSIGN;fresh-manager-1@shoprite.example;FreshChain rules service;Assigned for cold-chain intervention.;OPEN;ASSIGNED;Pending store action.;2026-06-17T08:32:00Z;2026-06-17T08:32:00Z
aaaa2222-2222-4222-8222-000000000010;aaaa1111-1111-4111-8111-000000000010;ASSIGN;fresh-manager-2@shoprite.example;FreshChain rules service;Assigned for cold-chain intervention.;OPEN;ASSIGNED;Pending store action.;2026-06-17T08:35:00Z;2026-06-17T08:35:00Z
aaaa2222-2222-4222-8222-000000000011;aaaa1111-1111-4111-8111-000000000011;ASSIGN;fresh-manager-3@shoprite.example;FreshChain rules service;Assigned for cold-chain intervention.;OPEN;ASSIGNED;Pending store action.;2026-06-17T08:38:00Z;2026-06-17T08:38:00Z
aaaa2222-2222-4222-8222-000000000012;aaaa1111-1111-4111-8111-000000000012;RESOLVE;fresh-manager-4@shoprite.example;FreshChain rules service;Verified intervention outcome against stock ledger.;OPEN;RESOLVED;Protected revenue captured.;2026-06-17T08:41:00Z;2026-06-17T08:41:00Z
